time_s,dF_F
0.0000,0.000000
0.0100,0.008922
0.0200,0.012802
0.0300,0.005508
0.0400,0.010325
0.0500,0.000000
0.0600,0.033877
0.0700,0.000000
0.0800,0.000000
0.0900,0.010816
0.1000,0.009033
0.1100,0.005849
0.1200,0.008104
0.1300,0.000000
0.1400,0.019072
0.1500,0.000000
0.1600,0.014951
0.1700,0.000000
0.1800,0.003079
0.1900,0.000000
0.2000,0.006865
0.2100,0.003805
0.2200,0.004393
0.2300,0.000000
0.2400,0.000000
0.2500,0.000000
0.2600,0.005944
0.2700,0.011872
0.2800,0.001806
0.2900,0.000000
0.3000,0.001291
0.3100,0.031333
0.3200,0.019752
0.3300,0.000000
0.3400,0.000760
0.3500,0.011185
0.3600,0.000000
0.3700,0.000000
0.3800,0.000000
0.3900,0.006626
0.4000,0.000000
0.4100,0.014264
0.4200,0.000000
0.4300,0.000000
0.4400,0.013492
0.4500,0.000000
0.4600,0.000000
0.4700,0.000000
0.4800,0.025727
0.4900,0.000000
0.5000,0.000000
0.5100,0.000000
0.5200,0.005467
0.5300,0.009409
0.5400,0.027318
0.5500,0.016883
0.5600,0.002255
0.5700,0.000000
0.5800,0.019488
0.5900,0.000000
0.6001,0.000000
0.6101,0.000000
0.6201,0.000000
0.6301,0.000000
0.6401,0.000000
0.6501,0.008768
0.6601,0.000000
0.6701,0.000000
0.6801,0.000000
0.6901,0.002515
0.7001,0.000872
0.7101,0.000000
0.7201,0.000000
0.7301,0.004662
0.7401,0.016687
0.7501,0.000000
0.7601,0.001067
0.7701,0.011499
0.7801,0.000000
0.7901,0.000000
0.8001,0.000000
0.8101,0.000000
0.8201,0.002022
0.8301,0.000379
0.8401,0.006661
0.8501,0.000000
0.8601,0.000120
0.8701,0.016581
0.8801,0.024930
0.8901,0.015362
0.9001,0.000000
0.9101,0.005413
0.9201,0.000000
0.9301,0.003407
0.9401,0.000000
0.9501,0.000000
0.9601,0.000000
0.9701,0.008671
0.9801,0.003456
0.9901,0.004835
1.0001,0.002596
1.0101,0.004854
1.0201,0.006354
1.0301,0.000000
1.0401,0.000995
1.0501,0.020919
1.0601,0.001704
1.0701,0.000511
1.0801,0.001235
1.0901,0.000000
1.1001,0.000000
1.1101,0.002504
1.1201,0.000000
1.1301,0.000000
1.1401,0.000000
1.1501,0.001296
1.1601,0.007010
1.1701,0.000000
1.1801,0.000000
1.1901,0.007084
1.2001,0.001442
1.2101,0.000000
1.2201,0.009279
1.2301,0.000000
1.2401,0.012545
1.2501,0.000000
1.2601,0.000000
1.2701,0.002140
1.2801,0.000000
1.2901,0.000000
1.3001,0.000000
1.3101,0.000000
1.3201,0.000000
1.3301,0.000000
1.3401,0.015265
1.3501,0.000000
1.3601,0.000000
1.3701,0.000000
1.3801,0.009249
1.3901,0.000000
1.4001,0.001608
1.4101,0.000000
1.4201,0.000000
1.4301,0.000000
1.4401,0.000000
1.4501,0.000106
1.4601,0.002824
1.4701,0.000000
1.4801,0.000000
1.4901,0.010661
1.5001,0.000000
1.5101,0.000000
1.5201,0.000000
1.5301,0.000000
1.5401,0.003132
1.5501,0.000000
1.5601,0.000000
1.5701,0.015891
1.5801,0.011041
1.5901,0.000000
1.6001,0.000000
1.6101,0.007121
1.6201,0.000000
1.6301,0.018007
1.6401,0.007396
1.6501,0.003594
1.6601,0.000000
1.6701,0.005897
1.6801,0.000000
1.6901,0.015663
1.7001,0.005066
1.7101,0.000000
1.7201,0.009656
1.7301,0.026898
1.7401,0.000000
1.7501,0.006605
1.7601,0.000000
1.7701,0.001024
1.7801,0.000000
1.7901,0.000000
1.8002,0.000523
1.8102,0.021588
1.8202,0.000000
1.8302,0.000000
1.8402,0.015457
1.8502,0.000000
1.8602,0.000000
1.8702,0.000000
1.8802,0.000000
1.8902,0.000000
1.9002,0.000000
1.9102,0.000000
1.9202,0.001416
1.9302,0.000000
1.9402,0.000000
1.9502,0.000000
1.9602,0.000000
1.9702,0.000000
1.9802,0.000000
1.9902,0.001029
2.0002,0.012810
2.0102,0.001542
2.0202,0.000000
2.0302,0.000000
2.0402,0.000000
2.0502,0.000000
2.0602,0.000000
2.0702,0.000000
2.0802,0.000000
2.0902,0.000000
2.1002,0.011909
2.1102,0.013105
2.1202,0.000000
2.1302,0.000000
2.1402,0.000000
2.1502,0.009715
2.1602,0.001746
2.1702,0.001113
2.1802,0.006435
2.1902,0.000000
2.2002,0.016367
2.2102,0.000000
2.2202,0.000000
2.2302,0.000000
2.2402,0.014783
2.2502,0.000000
2.2602,0.011395
2.2702,0.000000
2.2802,0.000000
2.2902,0.007915
2.3002,0.000000
2.3102,0.009870
2.3202,0.004220
2.3302,0.000000
2.3402,0.000000
2.3502,0.000000
2.3602,0.004188
2.3702,0.022654
2.3802,0.000000
2.3902,0.006405
2.4002,0.000293
2.4102,0.000289
2.4202,0.000000
2.4302,0.000000
2.4402,0.004022
2.4502,0.000000
2.4602,0.000000
2.4702,0.012170
2.4802,0.001188
2.4902,0.000000
2.5002,0.016081
2.5102,0.000000
2.5202,0.015274
2.5302,0.000000
2.5402,0.002538
2.5502,0.000000
2.5602,0.000000
2.5702,0.015767
2.5802,0.022275
2.5902,0.000000
2.6002,0.004026
2.6102,0.000684
2.6202,0.020766
2.6302,0.000000
2.6402,0.004525
2.6502,0.000000
2.6602,0.000000
2.6702,0.000000
2.6802,0.022177
2.6902,0.000000
2.7002,0.009489
2.7102,0.014384
2.7202,0.000000
2.7302,0.001445
2.7402,0.000000
2.7502,0.000000
2.7602,0.010884
2.7702,0.000728
2.7802,0.004408
2.7902,0.001598
2.8002,0.026304
2.8102,0.000000
2.8202,0.019265
2.8302,0.001602
2.8402,0.020330
2.8502,0.000000
2.8602,0.002216
2.8702,0.000000
2.8802,0.001674
2.8902,0.014669
2.9002,0.004546
2.9102,0.014645
2.9202,0.000000
2.9302,0.000000
2.9402,0.000193
2.9502,0.000000
2.9602,0.000000
2.9702,0.000000
2.9802,0.014384
2.9902,0.000000
3.0003,0.017113
3.0103,0.000153
3.0203,0.007781
3.0303,0.006693
3.0403,0.000000
3.0503,0.004406
3.0603,0.023140
3.0703,0.003019
3.0803,0.010815
3.0903,0.008319
3.1003,0.003685
3.1103,0.002238
3.1203,0.006568
3.1303,0.009159
3.1403,0.000000
3.1503,0.002968
3.1603,0.000000
3.1703,0.000000
3.1803,0.015552
3.1903,0.000000
3.2003,0.000000
3.2103,0.009549
3.2203,0.000000
3.2303,0.000000
3.2403,0.010899
3.2503,0.001905
3.2603,0.005673
3.2703,0.000000
3.2803,0.000000
3.2903,0.000000
3.3003,0.000000
3.3103,0.000000
3.3203,0.003685
3.3303,0.000000
3.3403,0.002220
3.3503,0.001862
3.3603,0.004642
3.3703,0.005994
3.3803,0.000000
3.3903,0.002208
