time_s,dF_F
0.0000,0.024534
0.0100,0.035510
0.0200,0.015428
0.0300,0.013999
0.0400,0.016757
0.0500,0.020390
0.0600,0.026141
0.0700,0.019716
0.0800,0.040785
0.0900,0.024208
0.1000,0.027808
0.1100,0.019631
0.1200,0.030118
0.1300,0.017947
0.1400,0.013558
0.1500,0.029053
0.1600,0.019427
0.1700,0.022453
0.1800,0.029819
0.1900,0.021390
0.2000,0.018508
0.2100,0.014646
0.2200,0.030617
0.2300,0.016583
0.2400,0.019489
0.2500,0.022869
0.2600,0.022828
0.2700,0.030137
0.2800,0.019302
0.2900,0.033764
0.3000,0.017512
0.3100,0.023708
0.3200,0.018162
0.3300,0.040931
0.3400,0.016494
0.3500,0.017398
0.3600,0.021147
0.3700,0.017332
0.3800,0.023145
0.3900,0.032291
0.4000,0.021473
0.4100,0.021843
0.4200,0.017709
0.4300,0.014949
0.4400,0.020965
0.4500,0.020076
0.4600,0.031733
0.4700,0.010409
0.4800,0.034545
0.4900,0.018532
0.5000,0.021485
0.5100,0.009352
0.5200,0.025619
0.5300,0.010395
0.5400,0.023734
0.5500,0.022757
0.5600,0.016744
0.5700,0.000000
0.5800,0.041606
0.5900,0.009458
0.6001,0.022727
0.6101,0.012702
0.6201,0.030480
0.6301,0.016205
0.6401,0.012480
0.6501,0.025952
0.6601,0.007280
0.6701,0.015867
0.6801,0.026902
0.6901,0.035068
0.7001,0.010376
0.7101,0.013884
0.7201,0.023521
0.7301,0.000026
0.7401,0.033576
0.7501,0.010005
0.7601,0.015626
0.7701,0.022608
0.7801,0.020512
0.7901,0.010364
0.8001,0.037215
0.8101,0.000000
0.8201,0.008780
0.8301,0.013632
0.8401,0.010503
0.8501,0.032196
0.8601,0.003417
0.8701,0.035575
0.8801,0.017219
0.8901,0.006391
0.9001,0.000000
0.9101,0.017849
0.9201,0.012980
0.9301,0.022365
0.9401,0.015494
0.9501,0.029558
0.9601,0.018575
0.9701,0.015761
0.9801,0.029733
0.9901,0.022282
1.0001,0.027746
1.0101,0.031487
1.0201,0.017062
1.0301,0.020382
1.0401,0.028438
1.0501,0.000000
1.0601,0.018982
1.0701,0.017751
1.0801,0.023741
1.0901,0.011989
1.1001,0.030954
1.1101,0.012622
1.1201,0.015410
1.1301,0.013356
1.1401,0.032299
1.1501,0.000000
1.1601,0.037869
1.1701,0.034734
1.1801,0.014351
1.1901,0.030269
1.2001,0.021301
1.2101,0.036529
1.2201,0.029507
1.2301,0.041931
1.2401,0.004379
1.2501,0.021913
1.2601,0.002759
1.2701,0.014813
1.2801,0.042497
1.2901,0.024682
1.3001,0.029845
1.3101,0.025139
1.3201,0.024505
1.3301,0.014777
1.3401,0.012914
1.3501,0.014508
1.3601,0.000000
1.3701,0.019180
1.3801,0.022398
1.3901,0.013808
1.4001,0.018693
1.4101,0.025250
1.4201,0.028848
1.4301,0.008022
1.4401,0.012052
1.4501,0.027530
1.4601,0.025890
1.4701,0.033444
1.4801,0.033029
1.4901,0.044149
1.5001,0.017072
1.5101,0.035786
1.5201,0.010800
1.5301,0.043941
1.5401,0.024547
1.5501,0.025420
1.5601,0.029899
1.5701,0.006446
1.5801,0.009252
1.5901,0.021157
1.6001,0.023457
1.6101,0.040826
1.6201,0.010508
1.6301,0.035402
1.6401,0.017344
1.6501,0.017205
1.6601,0.018362
1.6701,0.016947
1.6801,0.024865
1.6901,0.016051
1.7001,0.005895
1.7101,0.017322
1.7201,0.024566
1.7301,0.005977
1.7401,0.025818
1.7501,0.031805
1.7601,0.034799
1.7701,0.023377
1.7801,0.001953
1.7901,0.026476
1.8002,0.029672
1.8102,0.013035
1.8202,0.019273
1.8302,0.024836
1.8402,0.037873
1.8502,0.017442
1.8602,0.028913
1.8702,0.023163
1.8802,0.021994
1.8902,0.033305
1.9002,0.011686
1.9102,0.022304
1.9202,0.020272
1.9302,0.004931
1.9402,0.032326
1.9502,0.028290
1.9602,0.020339
1.9702,0.017386
1.9802,0.020002
1.9902,0.027074
2.0002,0.020529
2.0102,0.013325
2.0202,0.014829
2.0302,0.019879
2.0402,0.010674
2.0502,0.023333
2.0602,0.012070
2.0702,0.010457
2.0802,0.051931
2.0902,0.039399
2.1002,0.021439
2.1102,0.028510
2.1202,0.030209
2.1302,0.019246
2.1402,0.022828
2.1502,0.017378
2.1602,0.032557
2.1702,0.032694
2.1802,0.035619
2.1902,0.022660
2.2002,0.041678
2.2102,0.019236
2.2202,0.040469
2.2302,0.015367
2.2402,0.007026
2.2502,0.040278
2.2602,0.026604
2.2702,0.025191
2.2802,0.016395
2.2902,0.011549
2.3002,0.012497
2.3102,0.021385
2.3202,0.018498
2.3302,0.000594
2.3402,0.036938
2.3502,0.015803
2.3602,0.032384
2.3702,0.012944
2.3802,0.021548
2.3902,0.029723
2.4002,0.028343
2.4102,0.017320
2.4202,0.025093
2.4302,0.026759
2.4402,0.018521
2.4502,0.008863
2.4602,0.013754
2.4702,0.016208
2.4802,0.020261
2.4902,0.035924
2.5002,0.029075
2.5102,0.011839
2.5202,0.038365
2.5302,0.019212
2.5402,0.026723
2.5502,0.010610
2.5602,0.015478
2.5702,0.030379
2.5802,0.011211
2.5902,0.020552
2.6002,0.024709
2.6102,0.009771
2.6202,0.002225
2.6302,0.029074
2.6402,0.048634
2.6502,0.024589
2.6602,0.026507
2.6702,0.011159
2.6802,0.034697
2.6902,0.016232
2.7002,0.031637
2.7102,0.026073
2.7202,0.026317
2.7302,0.025933
2.7402,0.025614
2.7502,0.022834
2.7602,0.029693
2.7702,0.012740
2.7802,0.017612
2.7902,0.034681
2.8002,0.021729
2.8102,0.016741
2.8202,0.030349
2.8302,0.028374
2.8402,0.007002
2.8502,0.027299
2.8602,0.021373
2.8702,0.027119
2.8802,0.020107
2.8902,0.024643
2.9002,0.001690
2.9102,0.011051
2.9202,0.027401
2.9302,0.046214
2.9402,0.023673
2.9502,0.013072
2.9602,0.021354
2.9702,0.011066
2.9802,0.032498
2.9902,0.020481
3.0003,0.030532
3.0103,0.018465
3.0203,0.031420
3.0303,0.003764
3.0403,0.020245
3.0503,0.025396
3.0603,0.017316
3.0703,0.023595
3.0803,0.023425
3.0903,0.030488
3.1003,0.026215
3.1103,0.023929
3.1203,0.028795
3.1303,0.006469
3.1403,0.012476
3.1503,0.006147
3.1603,0.025486
3.1703,0.024138
3.1803,0.033853
3.1903,0.023517
3.2003,0.013683
3.2103,0.021340
3.2203,0.001246
3.2303,0.015918
3.2403,0.000000
3.2503,0.023285
3.2603,0.017207
3.2703,0.018677
3.2803,0.010684
3.2903,0.013311
3.3003,0.026926
3.3103,0.005639
3.3203,0.025057
3.3303,0.011888
3.3403,0.003190
3.3503,0.032263
3.3603,0.033292
3.3703,0.014605
3.3803,0.014507
3.3903,0.017491
3.4003,0.011899
3.4103,0.013662
3.4203,0.024501
3.4303,0.040739
3.4403,0.016453
3.4503,0.030231
3.4603,0.023529
3.4703,0.003278
3.4803,0.019756
3.4903,0.018499
3.5003,0.034645
3.5103,0.035052
3.5203,0.023768
3.5303,0.032143
3.5403,0.018536
3.5503,0.031194
3.5603,0.021003
3.5703,0.030977
3.5803,0.031994
3.5903,0.027165
3.6003,0.012584
3.6103,0.015795
3.6203,0.027523
3.6303,0.028935
3.6403,0.021584
3.6503,0.016877
3.6603,0.021914
3.6703,0.017215
3.6803,0.017271
3.6903,0.039600
3.7003,0.015245
3.7103,0.025078
3.7203,0.021529
