time_s,dF_F
0.0000,0.000000
0.0100,0.005531
0.0200,0.000000
0.0300,0.013177
0.0400,0.000000
0.0500,0.000000
0.0600,0.000000
0.0700,0.018338
0.0800,0.000000
0.0900,0.000000
0.1000,0.000000
0.1100,0.007985
0.1200,0.005482
0.1300,0.006191
0.1400,0.006462
0.1500,0.032125
0.1600,0.000000
0.1700,0.000000
0.1800,0.000000
0.1900,0.009240
0.2000,0.016935
0.2100,0.000000
0.2200,0.000000
0.2300,0.000000
0.2400,0.009759
0.2500,0.011149
0.2600,0.008147
0.2700,0.000000
0.2800,0.003482
0.2900,0.001750
0.3000,0.003280
0.3100,0.013071
0.3200,0.003354
0.3300,0.010184
0.3400,0.001014
0.3500,0.004337
0.3600,0.009469
0.3700,0.000000
0.3800,0.000000
0.3900,0.000000
0.4000,0.000000
0.4100,0.000000
0.4200,0.022424
0.4300,0.000000
0.4400,0.014524
0.4500,0.000000
0.4600,0.000000
0.4700,0.002441
0.4800,0.008793
0.4900,0.010668
0.5000,0.011900
0.5100,0.000000
0.5200,0.000000
0.5300,0.012870
0.5400,0.000000
0.5500,0.000000
0.5600,0.000000
0.5700,0.000000
0.5800,0.007457
0.5900,0.002136
0.6001,0.010357
0.6101,0.000000
0.6201,0.002378
0.6301,0.009384
0.6401,0.000000
0.6501,0.006852
0.6601,0.000000
0.6701,0.000000
0.6801,0.000000
0.6901,0.000000
0.7001,0.007305
0.7101,0.000000
0.7201,0.000187
0.7301,0.007211
0.7401,0.006698
0.7501,0.009981
0.7601,0.000000
0.7701,0.000000
0.7801,0.000000
0.7901,0.000000
0.8001,0.000000
0.8101,0.000000
0.8201,0.000000
0.8301,0.005997
0.8401,0.000000
0.8501,0.000000
0.8601,0.019488
0.8701,0.000000
0.8801,0.011063
0.8901,0.000000
0.9001,0.000000
0.9101,0.000000
0.9201,0.000000
0.9301,0.012605
0.9401,0.000000
0.9501,0.006516
0.9601,0.003566
0.9701,0.000000
0.9801,0.000000
0.9901,0.001082
1.0001,0.000000
1.0101,0.003490
1.0201,0.000328
1.0301,0.024027
1.0401,0.000000
1.0501,0.000000
1.0601,0.002689
1.0701,0.003300
1.0801,0.020388
1.0901,0.012527
1.1001,0.005353
1.1101,0.021950
1.1201,0.000000
1.1301,0.000000
1.1401,0.000000
1.1501,0.000000
1.1601,0.000000
1.1701,0.009527
1.1801,0.000000
1.1901,0.000000
1.2001,0.000000
1.2101,0.004703
1.2201,0.012572
1.2301,0.029951
1.2401,0.043708
1.2501,0.006216
1.2601,0.000000
1.2701,0.000000
1.2801,0.004016
1.2901,0.000000
1.3001,0.000000
1.3101,0.000000
1.3201,0.000000
1.3301,0.015990
1.3401,0.002356
1.3501,0.000000
1.3601,0.000000
1.3701,0.000000
1.3801,0.000000
1.3901,0.000000
1.4001,0.026519
1.4101,0.001954
1.4201,0.014741
1.4301,0.000000
1.4401,0.000000
1.4501,0.000000
1.4601,0.000000
1.4701,0.031927
1.4801,0.000000
1.4901,0.012577
1.5001,0.000000
1.5101,0.013974
1.5201,0.005774
1.5301,0.000000
1.5401,0.000000
1.5501,0.000000
1.5601,0.006691
1.5701,0.000000
1.5801,0.000000
1.5901,0.000000
1.6001,0.002589
1.6101,0.023686
1.6201,0.002400
1.6301,0.000000
1.6401,0.004287
1.6501,0.019590
1.6601,0.003291
1.6701,0.000000
1.6801,0.016594
1.6901,0.006431
1.7001,0.023036
1.7101,0.002749
1.7201,0.000000
1.7301,0.000000
1.7401,0.024764
1.7501,0.025855
1.7601,0.000000
1.7701,0.000000
1.7801,0.021922
1.7901,0.000000
1.8002,0.000000
1.8102,0.009650
1.8202,0.000000
1.8302,0.000000
1.8402,0.000000
1.8502,0.005064
1.8602,0.021112
1.8702,0.001359
1.8802,0.009659
1.8902,0.000000
1.9002,0.000000
1.9102,0.000000
1.9202,0.000000
1.9302,0.000000
1.9402,0.000000
1.9502,0.013739
1.9602,0.000000
1.9702,0.000459
1.9802,0.000000
1.9902,0.000000
2.0002,0.015041
2.0102,0.008072
2.0202,0.020061
2.0302,0.000000
2.0402,0.000000
2.0502,0.000000
2.0602,0.003637
2.0702,0.002649
2.0802,0.000000
2.0902,0.001357
2.1002,0.003423
2.1102,0.037762
2.1202,0.028153
2.1302,0.000000
2.1402,0.000000
2.1502,0.000000
2.1602,0.000000
2.1702,0.004734
2.1802,0.018088
2.1902,0.000000
2.2002,0.000000
2.2102,0.000000
2.2202,0.000000
2.2302,0.000000
2.2402,0.000000
2.2502,0.000000
2.2602,0.000000
2.2702,0.000000
2.2802,0.000000
2.2902,0.031939
2.3002,0.000000
2.3102,0.000000
2.3202,0.027554
2.3302,0.043576
2.3402,0.000000
2.3502,0.000000
2.3602,0.005123
2.3702,0.025930
2.3802,0.000000
2.3902,0.000000
2.4002,0.011660
2.4102,0.006521
2.4202,0.000000
2.4302,0.000000
2.4402,0.000000
2.4502,0.000000
2.4602,0.000000
2.4702,0.003483
2.4802,0.000000
2.4902,0.007073
2.5002,0.015191
2.5102,0.002331
2.5202,0.005276
2.5302,0.000797
2.5402,0.000001
2.5502,0.000000
2.5602,0.004747
2.5702,0.000000
2.5802,0.031398
2.5902,0.023600
2.6002,0.005788
2.6102,0.000000
2.6202,0.000000
2.6302,0.017867
2.6402,0.003941
2.6502,0.007202
2.6602,0.000000
2.6702,0.013912
2.6802,0.006816
2.6902,0.000000
2.7002,0.000000
2.7102,0.003956
2.7202,0.000787
2.7302,0.000000
2.7402,0.000000
2.7502,0.000000
2.7602,0.002288
2.7702,0.022072
2.7802,0.000000
2.7902,0.000000
2.8002,0.002648
2.8102,0.004440
2.8202,0.000000
2.8302,0.000000
2.8402,0.004920
2.8502,0.025910
2.8602,0.000000
2.8702,0.012957
2.8802,0.000000
2.8902,0.000000
2.9002,0.000000
2.9102,0.000000
2.9202,0.019501
2.9302,0.008740
2.9402,0.025985
2.9502,0.017661
2.9602,0.006586
2.9702,0.026159
2.9802,0.006585
2.9902,0.012420
3.0003,0.000000
3.0103,0.000998
3.0203,0.000000
3.0303,0.014844
3.0403,0.000000
3.0503,0.011735
3.0603,0.000000
3.0703,0.017569
3.0803,0.011263
3.0903,0.027310
3.1003,0.010962
3.1103,0.000000
3.1203,0.000000
3.1303,0.000000
3.1403,0.000000
3.1503,0.022668
3.1603,0.009563
3.1703,0.000000
3.1803,0.000000
3.1903,0.000492
3.2003,0.000000
3.2103,0.000000
3.2203,0.004680
3.2303,0.017330
3.2403,0.009131
3.2503,0.000000
3.2603,0.004566
3.2703,0.001081
3.2803,0.006208
3.2903,0.024243
3.3003,0.000000
3.3103,0.000000
3.3203,0.008864
3.3303,0.000000
3.3403,0.022139
3.3503,0.005525
3.3603,0.012699
3.3703,0.000000
3.3803,0.012206
3.3903,0.016027
3.4003,0.003493
3.4103,0.003516
3.4203,0.004055
3.4303,0.000000
3.4403,0.000000
3.4503,0.000000
3.4603,0.005751
3.4703,0.014997
3.4803,0.000000
3.4903,0.000000
3.5003,0.022222
3.5103,0.000000
3.5203,0.000000
3.5303,0.003035
3.5403,0.012666
3.5503,0.000171
3.5603,0.019934
3.5703,0.012852
3.5803,0.012627
3.5903,0.008312
3.6003,0.034915
3.6103,0.000000
3.6203,0.000000
3.6303,0.024064
3.6403,0.000000
3.6503,0.001618
3.6603,0.019643
3.6703,0.000000
3.6803,0.000000
3.6903,0.000000
3.7003,0.000000
3.7103,0.006595
3.7203,0.007863
3.7303,0.004144
3.7403,0.000000
3.7503,0.000000
3.7603,0.000815
3.7703,0.000000
3.7803,0.006891
3.7903,0.010529
3.8003,0.002074
3.8103,0.011402
3.8203,0.003438
3.8303,0.007951
3.8403,0.000000
3.8503,0.000000
3.8603,0.002952
3.8703,0.012308
3.8803,0.000000
3.8903,0.007818
3.9003,0.000000
3.9103,0.000000
3.9203,0.012443
3.9303,0.000000
3.9403,0.000000
3.9503,0.000000
3.9603,0.000000
3.9703,0.000000
3.9803,0.011242
3.9903,0.000000
4.0003,0.002967
4.0103,0.016338
4.0203,0.019915
4.0303,0.000000
4.0403,0.020304
4.0503,0.001382
4.0603,0.000000
4.0703,0.000000
4.0803,0.000000
4.0903,0.000000
4.1003,0.000000
4.1103,0.012054
4.1203,0.025812
4.1303,0.000000
4.1403,0.005892
4.1503,0.000000
4.1603,0.007120
4.1703,0.000000
4.1803,0.000000
4.1903,0.013924
4.2004,0.000000
4.2104,0.000000
4.2204,0.000000
4.2304,0.000000
4.2404,0.006418
4.2504,0.000000
4.2604,0.004930
4.2704,0.005429
4.2804,0.019810
4.2904,0.000000
4.3004,0.000000
4.3104,0.016008
4.3204,0.000000
4.3304,0.016719
4.3404,0.005751
4.3504,0.000000
4.3604,0.005232
4.3704,0.029265
4.3804,0.031155
4.3904,0.001041
4.4004,0.002403
4.4104,0.016144
4.4204,0.000000
4.4304,0.004996
4.4404,0.000000
4.4504,0.004709
4.4604,0.000000
4.4704,0.000000
4.4804,0.000000
4.4904,0.000000
4.5004,0.000000
4.5104,0.000000
4.5204,0.029058
4.5304,0.016590
4.5404,0.000000
4.5504,0.005216
4.5604,0.000000
4.5704,0.000000
4.5804,0.002780
4.5904,0.009288
4.6004,0.000000
4.6104,0.015958
4.6204,0.000000
4.6304,0.000095
4.6404,0.038965
4.6504,0.003346
4.6604,0.021498
4.6704,0.001373
4.6804,0.008712
4.6904,0.000000
4.7004,0.000000
4.7104,0.000000
4.7204,0.006455
4.7304,0.000000
4.7404,0.009984
4.7504,0.016279
4.7604,0.005498
4.7704,0.000000
4.7804,0.006809
4.7904,0.000000
4.8004,0.014033
4.8104,0.000000
4.8204,0.000000
4.8304,0.000000
4.8404,0.000000
4.8504,0.020458
4.8604,0.013428
4.8704,0.000000
4.8804,0.000000
4.8904,0.000000
4.9004,0.000000
4.9104,0.036306
4.9204,0.006523
4.9304,0.000000
4.9404,0.006976
4.9504,0.000000
4.9604,0.000000
4.9704,0.001492
4.9804,0.000000
4.9904,0.011862
5.0004,0.005170
5.0104,0.010025
5.0204,0.000000
5.0304,0.013467
5.0404,0.024434
5.0504,0.000000
5.0604,0.000000
5.0704,0.020037
5.0804,0.000000
5.0904,0.021057
5.1004,0.000000
5.1104,0.021826
5.1204,0.001972
5.1304,0.003873
5.1404,0.023471
5.1504,0.000000
5.1604,0.000000
5.1704,0.000000
5.1804,0.006785
5.1904,0.000000
5.2004,0.009562
5.2104,0.000000
5.2204,0.017217
5.2304,0.000000
5.2404,0.000000
5.2504,0.000000
5.2604,0.000000
5.2704,0.003715
5.2804,0.000000
5.2904,0.000000
5.3004,0.000000
5.3104,0.003051
5.3204,0.000000
5.3304,0.010603
5.3404,0.009940
5.3504,0.005776
5.3604,0.008348
5.3704,0.004446
5.3804,0.030526
5.3904,0.000000
5.4005,0.000000
5.4105,0.000000
5.4205,0.000000
5.4305,0.000000
5.4405,0.000000
5.4505,0.000000
5.4605,0.005014
5.4705,0.000767
5.4805,0.000000
5.4905,0.013503
5.5005,0.011091
5.5105,0.000000
5.5205,0.000000
5.5305,0.008226
5.5405,0.002820
5.5505,0.000000
5.5605,0.000000
5.5705,0.003931
5.5805,0.000000
5.5905,0.002848
5.6005,0.000000
5.6105,0.020043
5.6205,0.018719
5.6305,0.000000
5.6405,0.005452
5.6505,0.000000
5.6605,0.000000
5.6705,0.000000
5.6805,0.000000
5.6905,0.010716
5.7005,0.029959
5.7105,0.000000
5.7205,0.000000
5.7305,0.003532
5.7405,0.024167
5.7505,0.000000
5.7605,0.003736
5.7705,0.027319
5.7805,0.000000
5.7905,0.000000
5.8005,0.000000
5.8105,0.000000
5.8205,0.012189
5.8305,0.003625
5.8405,0.000000
5.8505,0.007731
5.8605,0.000000
5.8705,0.019117
5.8805,0.000000
5.8905,0.000000
5.9005,0.008117
5.9105,0.011444
5.9205,0.006721
5.9305,0.000000
5.9405,0.008071
5.9505,0.000000
5.9605,0.003529
5.9705,0.000000
5.9805,0.006695
5.9905,0.000000
6.0005,0.000000
6.0105,0.010707
6.0205,0.003625
6.0305,0.000000
6.0405,0.021768
6.0505,0.000000
6.0605,0.000482
6.0705,0.004034
6.0805,0.000000
6.0905,0.007067
6.1005,0.000000
6.1105,0.000000
6.1205,0.020440
6.1305,0.000000
6.1405,0.000000
6.1505,0.024164
6.1605,0.038240
6.1705,0.000000
6.1805,0.000000
6.1905,0.000000
6.2005,0.000000
6.2105,0.000000
6.2205,0.000000
6.2305,0.008693
6.2405,0.007868
6.2505,0.000000
6.2605,0.010488
6.2705,0.030790
6.2805,0.002579
6.2905,0.000000
6.3005,0.000000
6.3105,0.009229
6.3205,0.000000
6.3305,0.002466
6.3405,0.000000
6.3505,0.027717
6.3605,0.000000
6.3705,0.025018
6.3805,0.000000
6.3905,0.008809
6.4005,0.004791
6.4105,0.000000
6.4205,0.002661
6.4305,0.018188
6.4405,0.000000
6.4505,0.000000
6.4605,0.000000
6.4705,0.000000
6.4805,0.000000
6.4905,0.000000
6.5005,0.000000
6.5105,0.000000
6.5205,0.007231
6.5305,0.000000
6.5405,0.000000
6.5505,0.011773
6.5605,0.004086
6.5705,0.000000
6.5805,0.000000
6.5905,0.012537
6.6006,0.005240
6.6106,0.035739
6.6206,0.006303
6.6306,0.005816
6.6406,0.000000
6.6506,0.012252
