time_s,dF_F
0.0000,0.008433
0.0100,0.000000
0.0200,0.000000
0.0300,0.000000
0.0400,0.007301
0.0500,0.007778
0.0600,0.050606
0.0700,0.030269
0.0800,0.000000
0.0900,0.000000
0.1000,0.000000
0.1100,0.023042
0.1200,0.000000
0.1300,0.008357
0.1400,0.000000
0.1500,0.000000
0.1600,0.037661
0.1700,0.000904
0.1800,0.000000
0.1900,0.004372
0.2000,0.000000
0.2100,0.000000
0.2200,0.000000
0.2300,0.000000
0.2400,0.000000
0.2500,0.020173
0.2600,0.008353
0.2700,0.011493
0.2800,0.000000
0.2900,0.014811
0.3000,0.000000
0.3100,0.000000
0.3200,0.007337
0.3300,0.000000
0.3400,0.000000
0.3500,0.000000
0.3600,0.022562
0.3700,0.023500
0.3800,0.000000
0.3900,0.000000
0.4000,0.000000
0.4100,0.000000
0.4200,0.014971
0.4300,0.016569
0.4400,0.000000
0.4500,0.021944
0.4600,0.044464
0.4700,0.115400
0.4800,0.157726
0.4900,0.220007
0.5000,0.262290
0.5100,0.311050
0.5200,0.255164
0.5300,0.255073
0.5400,0.267438
0.5500,0.225264
0.5600,0.190859
0.5700,0.220498
0.5800,0.181967
0.5900,0.198495
0.6001,0.166651
0.6101,0.150211
0.6201,0.168556
0.6301,0.109981
0.6401,0.149238
0.6501,0.102481
0.6601,0.108041
0.6701,0.099886
0.6801,0.081311
0.6901,0.068000
0.7001,0.068275
0.7101,0.050358
0.7201,0.098078
0.7301,0.048677
0.7401,0.073183
0.7501,0.066184
0.7601,0.049966
0.7701,0.037073
0.7801,0.039406
0.7901,0.042921
0.8001,0.031414
0.8101,0.000000
0.8201,0.000000
0.8301,0.049200
0.8401,0.000000
0.8501,0.021572
0.8601,0.012093
0.8701,0.017648
0.8801,0.000000
0.8901,0.018353
0.9001,0.014580
0.9101,0.075270
0.9201,0.055588
0.9301,0.113634
0.9401,0.103699
0.9501,0.193204
0.9601,0.224226
0.9701,0.270187
0.9801,0.314523
0.9901,0.322685
1.0001,0.279684
1.0101,0.244677
1.0201,0.231990
1.0301,0.242664
1.0401,0.221489
1.0501,0.171967
1.0601,0.195467
1.0701,0.154014
1.0801,0.169283
1.0901,0.135394
1.1001,0.133923
1.1101,0.118867
1.1201,0.146278
1.1301,0.117002
1.1401,0.123855
1.1501,0.145194
1.1601,0.086371
1.1701,0.105518
1.1801,0.059330
1.1901,0.088412
1.2001,0.045636
1.2101,0.054609
1.2201,0.059773
1.2301,0.058152
1.2401,0.018652
1.2501,0.022187
1.2601,0.045346
1.2701,0.024558
1.2801,0.003132
1.2901,0.024365
1.3001,0.021091
1.3101,0.024221
1.3201,0.028564
1.3301,0.025602
1.3401,0.001742
1.3501,0.006676
1.3601,0.029411
1.3701,0.001702
1.3801,0.003252
1.3901,0.000000
1.4001,0.007923
1.4101,0.013827
1.4201,0.000000
1.4301,0.000000
1.4401,0.000000
1.4501,0.019221
1.4601,0.000000
1.4701,0.002669
1.4801,0.016602
1.4901,0.006697
1.5001,0.000000
1.5101,0.008927
1.5201,0.021089
1.5301,0.000245
1.5401,0.000000
1.5501,0.022429
1.5601,0.008798
1.5701,0.000839
1.5801,0.000000
1.5901,0.000000
1.6001,0.000000
1.6101,0.000000
1.6201,0.000000
1.6301,0.000000
1.6401,0.000000
1.6501,0.013932
1.6601,0.005157
1.6701,0.000000
1.6801,0.000000
1.6901,0.000000
1.7001,0.000000
1.7101,0.010842
1.7201,0.000000
1.7301,0.026519
1.7401,0.010766
1.7501,0.000000
1.7601,0.001731
1.7701,0.018908
1.7801,0.007154
1.7901,0.000000
1.8002,0.000000
1.8102,0.003325
1.8202,0.013956
1.8302,0.000000
1.8402,0.000000
1.8502,0.029570
1.8602,0.000661
1.8702,0.027563
1.8802,0.053796
1.8902,0.000000
1.9002,0.000000
1.9102,0.000000
1.9202,0.019818
1.9302,0.022333
1.9402,0.040925
1.9502,0.000000
1.9602,0.008809
1.9702,0.000000
1.9802,0.000000
