time_s,dF_F
0.0000,0.016828
0.0100,0.014684
0.0200,0.002095
0.0300,0.010042
0.0400,0.000000
0.0500,0.009732
0.0600,0.012514
0.0700,0.013583
0.0800,0.002004
0.0900,0.004092
0.1000,0.011979
0.1100,0.020004
0.1200,0.010737
0.1300,0.005535
0.1400,0.017762
0.1500,0.011033
0.1600,0.011430
0.1700,0.016382
0.1800,0.009230
0.1900,0.002533
0.2000,0.008763
0.2100,0.018897
0.2200,0.025141
0.2300,0.000250
0.2400,0.023098
0.2500,0.007065
0.2600,0.010164
0.2700,0.023599
0.2800,0.006722
0.2900,0.007805
0.3000,0.004858
0.3100,0.010303
0.3200,0.012494
0.3300,0.004503
0.3400,0.021603
0.3500,0.004021
0.3600,0.013987
0.3700,0.010212
0.3800,0.019950
0.3900,0.003569
0.4000,0.014580
0.4100,0.029369
0.4200,0.000000
0.4300,0.002795
0.4400,0.026672
0.4500,0.008927
0.4600,0.010909
0.4700,0.007342
0.4800,0.023233
0.4900,0.000000
0.5000,0.019896
0.5100,0.000000
0.5200,0.000000
0.5300,0.001304
0.5400,0.008977
0.5500,0.004285
0.5600,0.003811
0.5700,0.002579
0.5800,0.002718
0.5900,0.002537
0.6001,0.011879
0.6101,0.004913
0.6201,0.000000
0.6301,0.009702
0.6401,0.015995
0.6501,0.007769
0.6601,0.000000
0.6701,0.015960
0.6801,0.000000
0.6901,0.007431
0.7001,0.009825
0.7101,0.018633
0.7201,0.014622
0.7301,0.011907
0.7401,0.017445
0.7501,0.000736
0.7601,0.022640
0.7701,0.000000
0.7801,0.021422
0.7901,0.003270
0.8001,0.013041
0.8101,0.021588
0.8201,0.014488
0.8301,0.012979
0.8401,0.016931
0.8501,0.000000
0.8601,0.000000
0.8701,0.012171
0.8801,0.008419
0.8901,0.007498
0.9001,0.019906
0.9101,0.019212
0.9201,0.002634
0.9301,0.013539
0.9401,0.000000
0.9501,0.000000
0.9601,0.002857
0.9701,0.009576
0.9801,0.004776
0.9901,0.013610
1.0001,0.009877
1.0101,0.018913
1.0201,0.014365
1.0301,0.001692
1.0401,0.017205
1.0501,0.003104
1.0601,0.013292
1.0701,0.006062
1.0801,0.020593
1.0901,0.015849
1.1001,0.004459
1.1101,0.006912
1.1201,0.036155
1.1301,0.000000
1.1401,0.004241
1.1501,0.004632
1.1601,0.000729
1.1701,0.001569
1.1801,0.009131
1.1901,0.013812
1.2001,0.000000
1.2101,0.005988
1.2201,0.003568
1.2301,0.000636
1.2401,0.017966
1.2501,0.003880
1.2601,0.000000
1.2701,0.017041
1.2801,0.020010
1.2901,0.011901
1.3001,0.002473
1.3101,0.007779
1.3201,0.004760
1.3301,0.009605
1.3401,0.015727
1.3501,0.009798
1.3601,0.009972
1.3701,0.005895
1.3801,0.015319
1.3901,0.012946
1.4001,0.000000
1.4101,0.000000
1.4201,0.007347
1.4301,0.017765
1.4401,0.019333
1.4501,0.016104
1.4601,0.008795
1.4701,0.021719
1.4801,0.004220
1.4901,0.007272
1.5001,0.000000
1.5101,0.007237
1.5201,0.003106
1.5301,0.022303
1.5401,0.020728
1.5501,0.010506
1.5601,0.013736
1.5701,0.005166
1.5801,0.000000
1.5901,0.003900
1.6001,0.015984
1.6101,0.013505
1.6201,0.006863
1.6301,0.015916
1.6401,0.006233
1.6501,0.000867
1.6601,0.015917
1.6701,0.005105
1.6801,0.018213
1.6901,0.000000
1.7001,0.005444
1.7101,0.014777
1.7201,0.013951
1.7301,0.008231
1.7401,0.012299
1.7501,0.011121
1.7601,0.000000
1.7701,0.007091
1.7801,0.011819
1.7901,0.014050
1.8002,0.009479
1.8102,0.005584
1.8202,0.000000
1.8302,0.016022
1.8402,0.015143
1.8502,0.017898
1.8602,0.001373
1.8702,0.010976
1.8802,0.004462
1.8902,0.010372
1.9002,0.033253
1.9102,0.017229
1.9202,0.003955
1.9302,0.007979
1.9402,0.007103
1.9502,0.010991
1.9602,0.000000
1.9702,0.012590
1.9802,0.000000
1.9902,0.000000
2.0002,0.026013
2.0102,0.007114
2.0202,0.021410
2.0302,0.003519
2.0402,0.000000
2.0502,0.001595
2.0602,0.031504
2.0702,0.000000
2.0802,0.024212
2.0902,0.012762
2.1002,0.010959
2.1102,0.004011
2.1202,0.002790
2.1302,0.014513
2.1402,0.020554
2.1502,0.011570
2.1602,0.015917
2.1702,0.006595
2.1802,0.027385
2.1902,0.011909
2.2002,0.026266
2.2102,0.002278
2.2202,0.009640
2.2302,0.018572
2.2402,0.011136
2.2502,0.014142
2.2602,0.002178
2.2702,0.006756
2.2802,0.002997
2.2902,0.009316
2.3002,0.008493
2.3102,0.005768
2.3202,0.015059
2.3302,0.001479
2.3402,0.000000
2.3502,0.005427
2.3602,0.027219
2.3702,0.014079
2.3802,0.003230
2.3902,0.013560
2.4002,0.008927
2.4102,0.013101
2.4202,0.017046
2.4302,0.011548
2.4402,0.010964
2.4502,0.021892
2.4602,0.014317
2.4702,0.011559
2.4802,0.010338
2.4902,0.005473
2.5002,0.000036
2.5102,0.015363
2.5202,0.020213
2.5302,0.013423
2.5402,0.014527
2.5502,0.002903
2.5602,0.005230
2.5702,0.000000
2.5802,0.008004
2.5902,0.017866
2.6002,0.004421
2.6102,0.009403
2.6202,0.015620
2.6302,0.019665
2.6402,0.000000
2.6502,0.006187
2.6602,0.004094
2.6702,0.002986
2.6802,0.006936
2.6902,0.000000
2.7002,0.007059
2.7102,0.010280
2.7202,0.001655
2.7302,0.006146
2.7402,0.010156
2.7502,0.010959
2.7602,0.000000
2.7702,0.015602
2.7802,0.015794
2.7902,0.004060
2.8002,0.023424
2.8102,0.013647
2.8202,0.012490
2.8302,0.015465
2.8402,0.001736
2.8502,0.007173
2.8602,0.014941
2.8702,0.003618
2.8802,0.007180
2.8902,0.014808
2.9002,0.012479
2.9102,0.010167
2.9202,0.010501
2.9302,0.008601
2.9402,0.016822
2.9502,0.026721
2.9602,0.012341
2.9702,0.020256
2.9802,0.006506
2.9902,0.004547
3.0003,0.003694
3.0103,0.002653
3.0203,0.007652
3.0303,0.017089
3.0403,0.018023
3.0503,0.005923
3.0603,0.007409
3.0703,0.009984
3.0803,0.011873
3.0903,0.014694
